SCOPE	ENTREZ	HUGO	GENENAME	ENSEMBL	HGNC	CHR	MAPLOC	DESCRIPTION	GENETYPE	GSC1	GSC2	HUGO_ENSG	SCOPE_ENSG
ACADVL	37	ACADVL	ACADVL	ENSG00000072778	92	17	17p13.1	acyl-CoA dehydrogenase very long chain	protein-coding	ACADVL|37_calculated	merged_ACADVL|37_calculated	ACADVL_ENSG00000072778	ACADVL_ENSG00000072778
ACAN	176	ACAN	ACAN	ENSG00000157766	319	15	15q26.1	aggrecan	protein-coding	ACAN|176_calculated	merged_ACAN|176_calculated	ACAN_ENSG00000157766	ACAN_ENSG00000157766
ACAP1	9744	ACAP1	ACAP1	ENSG00000072818	16467	17	17p13.1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	protein-coding	ACAP1|9744_calculated	merged_ACAP1|9744_calculated	ACAP1_ENSG00000072818	ACAP1_ENSG00000072818
ACAP2	23527	ACAP2	ACAP2	ENSG00000114331	16469	3	3q29	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	protein-coding	ACAP2|23527_calculated	merged_ACAP2|23527_calculated	ACAP2_ENSG00000114331	ACAP2_ENSG00000114331
ACAP3	116983	ACAP3	ACAP3	ENSG00000131584	16754	1	1p36.33	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	protein-coding	ACAP3|116983_calculated	merged_ACAP3|116983_calculated	ACAP3_ENSG00000131584	ACAP3_ENSG00000131584
ACAT1	38	ACAT1	ACAT1	ENSG00000075239	93	11	11q22.3	acetyl-CoA acetyltransferase 1	protein-coding	ACAT1|38_calculated	merged_ACAT1|38_calculated	ACAT1_ENSG00000075239	ACAT1_ENSG00000075239
ACAT2	39	ACAT2	ACAT2	ENSG00000120437	94	6	6q25.3	acetyl-CoA acetyltransferase 2	protein-coding	ACAT2|39_calculated	merged_ACAT2|39_calculated	ACAT2_ENSG00000120437	ACAT2_ENSG00000120437
ACBD3	64746	ACBD3	ACBD3	ENSG00000182827	15453	1	1q42.12	acyl-CoA binding domain containing 3	protein-coding	ACBD3|64746_calculated	merged_ACBD3|64746_calculated	ACBD3_ENSG00000182827	ACBD3_ENSG00000182827
ACBD4	79777	ACBD4	ACBD4	ENSG00000181513	23337	17	17q21.31	acyl-CoA binding domain containing 4	protein-coding	ACBD4|79777_calculated	merged_ACBD4|79777_calculated	ACBD4_ENSG00000181513	ACBD4_ENSG00000181513
ACBD5	91452	ACBD5	ACBD5	ENSG00000107897	23338	10	10p12.1	acyl-CoA binding domain containing 5	protein-coding	ACBD5|91452_calculated	merged_ACBD5|91452_calculated	ACBD5_ENSG00000107897	ACBD5_ENSG00000107897
ACBD6	84320	ACBD6	ACBD6	ENSG00000230124	23339	1	1q25.2-q25.3	acyl-CoA binding domain containing 6	protein-coding	ACBD6|84320_calculated	merged_ACBD6|84320_calculated	ACBD6_ENSG00000230124	ACBD6_ENSG00000230124
ACBD7	414149	ACBD7	ACBD7	ENSG00000176244	17715	10	10p13	acyl-CoA binding domain containing 7	protein-coding	ACBD7|414149_calculated	merged_ACBD7|414149_calculated	ACBD7_ENSG00000176244	ACBD7_ENSG00000176244
ACCS	84680	ACCS	ACCS	ENSG00000110455	23989	11	11p11.2	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	protein-coding	ACCS|84680_calculated	merged_ACCS|84680_calculated	ACCS_ENSG00000110455	ACCS_ENSG00000110455
ACCSL	390110	ACCSL	ACCSL	ENSG00000205126	34391	11	11p11.2	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	protein-coding	ACCSL|390110_calculated	merged_ACCSL|390110_calculated	ACCSL_ENSG00000205126	ACCSL_ENSG00000205126
ACD	65057	ACD	ACD	ENSG00000102977	25070	16	16q22.1	ACD shelterin complex subunit and telomerase recruitment factor	protein-coding	ACD|65057_calculated	merged_ACD|65057_calculated	ACD_ENSG00000102977	ACD_ENSG00000102977
ACE	1636	ACE	ACE	ENSG00000159640	2707	17	17q23.3	angiotensin I converting enzyme	protein-coding	ACE|1636_calculated	merged_ACE|1636_calculated	ACE_ENSG00000159640	ACE_ENSG00000159640
ACE2	59272	ACE2	ACE2	ENSG00000130234	13557	X	Xp22.2	angiotensin I converting enzyme 2	protein-coding	ACE2|59272_calculated	merged_ACE2|59272_calculated	ACE2_ENSG00000130234	ACE2_ENSG00000130234
ACER1	125981	ACER1	ACER1	ENSG00000167769	18356	19	19p13.3	alkaline ceramidase 1	protein-coding	ACER1|125981_calculated	merged_ACER1|125981_calculated	ACER1_ENSG00000167769	ACER1_ENSG00000167769
ACER2	340485	ACER2	ACER2	ENSG00000177076	23675	9	9p22.1	alkaline ceramidase 2	protein-coding	ACER2|340485_calculated	merged_ACER2|340485_calculated	ACER2_ENSG00000177076	ACER2_ENSG00000177076
ACER3	55331	ACER3	ACER3	ENSG00000078124	16066	11	11q13.5	alkaline ceramidase 3	protein-coding	ACER3|55331_calculated	merged_ACER3|55331_calculated	ACER3_ENSG00000078124	ACER3_ENSG00000078124
ACHE	43	ACHE	ACHE	ENSG00000087085	108	7	7q22.1	acetylcholinesterase (Cartwright blood group)	protein-coding	ACHE|43_calculated	merged_ACHE|43_calculated	ACHE_ENSG00000087085	ACHE_ENSG00000087085
ACIN1	22985	ACIN1	ACIN1	ENSG00000100813	17066	14	14q11.2	apoptotic chromatin condensation inducer 1	protein-coding	ACIN1|22985_calculated	merged_ACIN1|22985_calculated	ACIN1_ENSG00000100813	ACIN1_ENSG00000100813
ACLY	47	ACLY	ACLY	ENSG00000131473	115	17	17q21.2	ATP citrate lyase	protein-coding	ACLY|47_calculated	merged_ACLY|47_calculated	ACLY_ENSG00000131473	ACLY_ENSG00000131473
ACMSD	130013	ACMSD	ACMSD	ENSG00000153086	19288	2	2q21.3	aminocarboxymuconate semialdehyde decarboxylase	protein-coding	ACMSD|130013_calculated	merged_ACMSD|130013_calculated	ACMSD_ENSG00000153086	ACMSD_ENSG00000153086
ACO1	48	ACO1	ACO1	ENSG00000122729	117	9	9p21.1	aconitase 1	protein-coding	ACO1|48_calculated	merged_ACO1|48_calculated	ACO1_ENSG00000122729	ACO1_ENSG00000122729
ACO2	50	ACO2	ACO2	ENSG00000100412	118	22	22q13.2	aconitase 2	protein-coding	ACO2|50_calculated	merged_ACO2|50_calculated	ACO2_ENSG00000100412	ACO2_ENSG00000100412
ACOT1	641371	ACOT1	ACOT1	ENSG00000184227	33128	14	14q24.3	acyl-CoA thioesterase 1	protein-coding	ACOT1|641371_calculated	merged_ACOT1|641371_calculated	ACOT1_ENSG00000184227	ACOT1_ENSG00000184227
ACOT11	26027	ACOT11	ACOT11	ENSG00000162390	18156	1	1p32.3	acyl-CoA thioesterase 11	protein-coding	ACOT11|26027_calculated	merged_ACOT11|26027_calculated	ACOT11_ENSG00000162390	ACOT11_ENSG00000162390
ACOT12	134526	ACOT12	ACOT12	ENSG00000172497	24436	5	5q14.1	acyl-CoA thioesterase 12	protein-coding	ACOT12|134526_calculated	merged_ACOT12|134526_calculated	ACOT12_ENSG00000172497	ACOT12_ENSG00000172497
ACOT13	55856	ACOT13	ACOT13	ENSG00000112304	20999	6	6p22.3	acyl-CoA thioesterase 13	protein-coding	ACOT13|55856_calculated	merged_ACOT13|55856_calculated	ACOT13_ENSG00000112304	ACOT13_ENSG00000112304
ACOT2	10965	ACOT2	ACOT2	ENSG00000119673	18431	14	14q24.3	acyl-CoA thioesterase 2	protein-coding	ACOT2|10965_calculated	merged_ACOT2|10965_calculated	ACOT2_ENSG00000119673	ACOT2_ENSG00000119673
ACOT4	122970	ACOT4	ACOT4	ENSG00000177465	19748	14	14q24.3	acyl-CoA thioesterase 4	protein-coding	ACOT4|122970_calculated	merged_ACOT4|122970_calculated	ACOT4_ENSG00000177465	ACOT4_ENSG00000177465
ACOT6	641372	ACOT6	ACOT6	ENSG00000205669	33159	14	14q24.3	acyl-CoA thioesterase 6	protein-coding	ACOT6|641372_calculated	merged_ACOT6|641372_calculated	ACOT6_ENSG00000205669	ACOT6_ENSG00000205669
ACOT7	11332	ACOT7	ACOT7	ENSG00000097021	24157	1	1p36.31	acyl-CoA thioesterase 7	protein-coding	ACOT7|11332_calculated	merged_ACOT7|11332_calculated	ACOT7_ENSG00000097021	ACOT7_ENSG00000097021
ACOT8	10005	ACOT8	ACOT8	ENSG00000101473	15919	20	20q13.12	acyl-CoA thioesterase 8	protein-coding	ACOT8|10005_calculated	merged_ACOT8|10005_calculated	ACOT8_ENSG00000101473	ACOT8_ENSG00000101473
ACOT9	23597	ACOT9	ACOT9	ENSG00000123130	17152	X	Xp22.11	acyl-CoA thioesterase 9	protein-coding	ACOT9|23597_calculated	merged_ACOT9|23597_calculated	ACOT9_ENSG00000123130	ACOT9_ENSG00000123130
ACOX1	51	ACOX1	ACOX1	ENSG00000161533	119	17	17q25.1	acyl-CoA oxidase 1	protein-coding	ACOX1|51_calculated	merged_ACOX1|51_calculated	ACOX1_ENSG00000161533	ACOX1_ENSG00000161533
ACOX2	8309	ACOX2	ACOX2	ENSG00000168306	120	3	3p14.3	acyl-CoA oxidase 2	protein-coding	ACOX2|8309_calculated	merged_ACOX2|8309_calculated	ACOX2_ENSG00000168306	ACOX2_ENSG00000168306
ACOX3	8310	ACOX3	ACOX3	ENSG00000087008	121	4	4p16.1	"acyl-CoA oxidase 3, pristanoyl"	protein-coding	ACOX3|8310_calculated	merged_ACOX3|8310_calculated	ACOX3_ENSG00000087008	ACOX3_ENSG00000087008
ACOXL	55289	ACOXL	ACOXL	ENSG00000153093	25621	2	2q13	acyl-CoA oxidase like	protein-coding	ACOXL|55289_calculated	merged_ACOXL|55289_calculated	ACOXL_ENSG00000153093	ACOXL_ENSG00000153093
ACP1	52	ACP1	ACP1	ENSG00000143727	122	2	2p25.3	acid phosphatase 1	protein-coding	ACP1|52_calculated	merged_ACP1|52_calculated	ACP1_ENSG00000143727	ACP1_ENSG00000143727
ACP2	53	ACP2	ACP2	ENSG00000134575	123	11	11p11.2|11p12-p11	"acid phosphatase 2, lysosomal"	protein-coding	ACP2|53_calculated	merged_ACP2|53_calculated	ACP2_ENSG00000134575	ACP2_ENSG00000134575
ACP5	54	ACP5	ACP5	ENSG00000102575	124	19	19p13.2	"acid phosphatase 5, tartrate resistant"	protein-coding	ACP5|54_calculated	merged_ACP5|54_calculated	ACP5_ENSG00000102575	ACP5_ENSG00000102575
ACP6	51205	ACP6	ACP6	ENSG00000162836	29609	1	1q21.2	"acid phosphatase 6, lysophosphatidic"	protein-coding	ACP6|51205_calculated	merged_ACP6|51205_calculated	ACP6_ENSG00000162836	ACP6_ENSG00000162836
ACPP	55	ACPP	ACPP	ENSG00000014257	125	3	3q22.1	"acid phosphatase, prostate"	protein-coding	ACPP|55_calculated	merged_ACPP|55_calculated	ACPP_ENSG00000014257	ACPP_ENSG00000014257
ACPT	93650	ACP4	ACP4	ENSG00000142513	14376	19	19q13.33	acid phosphatase 4	protein-coding	ACPT|93650_calculated	merged_ACPT|93650_calculated	ACP4_ENSG00000142513	ACPT_ENSG00000142513
ACR	49	ACR	ACR	ENSG00000100312	126	22	22q13.33	acrosin	protein-coding	ACR|49_calculated	merged_ACR|49_calculated	ACR_ENSG00000100312	ACR_ENSG00000100312
ACRBP	84519	ACRBP	ACRBP	ENSG00000111644	17195	12	12p13.31	acrosin binding protein	protein-coding	ACRBP|84519_calculated	merged_ACRBP|84519_calculated	ACRBP_ENSG00000111644	ACRBP_ENSG00000111644
ACRC	93953	GCNA	GCNA	ENSG00000147174	15805	X	Xq13.1	germ cell nuclear acidic peptidase	protein-coding	ACRC|93953_calculated	merged_ACRC|93953_calculated	GCNA_ENSG00000147174	ACRC_ENSG00000147174
ACRV1	56	ACRV1	ACRV1	ENSG00000134940	127	11	11q24.2	acrosomal vesicle protein 1	protein-coding	ACRV1|56_calculated	merged_ACRV1|56_calculated	ACRV1_ENSG00000134940	ACRV1_ENSG00000134940
ACSBG1	23205	ACSBG1	ACSBG1	ENSG00000103740	29567	15	15q25.1	acyl-CoA synthetase bubblegum family member 1	protein-coding	ACSBG1|23205_calculated	merged_ACSBG1|23205_calculated	ACSBG1_ENSG00000103740	ACSBG1_ENSG00000103740
ACSBG2	81616	ACSBG2	ACSBG2	ENSG00000130377	24174	19	19p13.3	acyl-CoA synthetase bubblegum family member 2	protein-coding	ACSBG2|81616_calculated	merged_ACSBG2|81616_calculated	ACSBG2_ENSG00000130377	ACSBG2_ENSG00000130377
ACSF2	80221	ACSF2	ACSF2	ENSG00000167107	26101	17	17q21.33	acyl-CoA synthetase family member 2	protein-coding	ACSF2|80221_calculated	merged_ACSF2|80221_calculated	ACSF2_ENSG00000167107	ACSF2_ENSG00000167107
ACSF3	197322	ACSF3	ACSF3	ENSG00000176715	27288	16	16q24.3	acyl-CoA synthetase family member 3	protein-coding	ACSF3|197322_calculated	merged_ACSF3|197322_calculated	ACSF3_ENSG00000176715	ACSF3_ENSG00000176715
ACSL1	2180	ACSL1	ACSL1	ENSG00000151726	3569	4	4q35.1	acyl-CoA synthetase long chain family member 1	protein-coding	ACSL1|2180_calculated	merged_ACSL1|2180_calculated	ACSL1_ENSG00000151726	ACSL1_ENSG00000151726
ACSL3	2181	ACSL3	ACSL3	ENSG00000123983	3570	2	2q36.1	acyl-CoA synthetase long chain family member 3	protein-coding	ACSL3|2181_calculated	merged_ACSL3|2181_calculated	ACSL3_ENSG00000123983	ACSL3_ENSG00000123983
ACSL4	2182	ACSL4	ACSL4	ENSG00000068366	3571	X	Xq23	acyl-CoA synthetase long chain family member 4	protein-coding	ACSL4|2182_calculated	merged_ACSL4|2182_calculated	ACSL4_ENSG00000068366	ACSL4_ENSG00000068366
ACSL5	51703	ACSL5	ACSL5	ENSG00000197142	16526	10	10q25.2	acyl-CoA synthetase long chain family member 5	protein-coding	ACSL5|51703_calculated	merged_ACSL5|51703_calculated	ACSL5_ENSG00000197142	ACSL5_ENSG00000197142
ACSL6	23305	ACSL6	ACSL6	ENSG00000164398	16496	5	5q31.1	acyl-CoA synthetase long chain family member 6	protein-coding	ACSL6|23305_calculated	merged_ACSL6|23305_calculated	ACSL6_ENSG00000164398	ACSL6_ENSG00000164398
ACSM1	116285	ACSM1	ACSM1	ENSG00000166743	18049	16	16p12.3	acyl-CoA synthetase medium chain family member 1	protein-coding	ACSM1|116285_calculated	merged_ACSM1|116285_calculated	ACSM1_ENSG00000166743	ACSM1_ENSG00000166743
ACSM2A	123876	ACSM2A	ACSM2A	ENSG00000183747	32017	16	16p12.3	acyl-CoA synthetase medium chain family member 2A	protein-coding	ACSM2A|123876_calculated	merged_ACSM2A|123876_calculated	ACSM2A_ENSG00000183747	ACSM2A_ENSG00000183747
ACSM2B	348158	ACSM2B	ACSM2B	ENSG00000066813	30931	16	16p12.3	acyl-CoA synthetase medium chain family member 2B	protein-coding	ACSM2B|348158_calculated	merged_ACSM2B|348158_calculated	ACSM2B_ENSG00000066813	ACSM2B_ENSG00000066813
ACSM3	6296	ACSM3	ACSM3	ENSG00000005187	10522	16	16p12.3	acyl-CoA synthetase medium chain family member 3	protein-coding	ACSM3|6296_calculated	merged_ACSM3|6296_calculated	ACSM3_ENSG00000005187	ACSM3_ENSG00000005187
ACSM4	341392	ACSM4	ACSM4	ENSG00000215009	32016	12	12p13.31	acyl-CoA synthetase medium chain family member 4	protein-coding	ACSM4|341392_calculated	merged_ACSM4|341392_calculated	ACSM4_ENSG00000215009	ACSM4_ENSG00000215009
ACSM5	54988	ACSM5	ACSM5	ENSG00000183549	26060	16	16p12.3	acyl-CoA synthetase medium chain family member 5	protein-coding	ACSM5|54988_calculated	merged_ACSM5|54988_calculated	ACSM5_ENSG00000183549	ACSM5_ENSG00000183549
ACSS1	84532	ACSS1	ACSS1	ENSG00000154930	16091	20	20p11.21	acyl-CoA synthetase short chain family member 1	protein-coding	ACSS1|84532_calculated	merged_ACSS1|84532_calculated	ACSS1_ENSG00000154930	ACSS1_ENSG00000154930
ACSS2	55902	ACSS2	ACSS2	ENSG00000131069	15814	20	20q11.22	acyl-CoA synthetase short chain family member 2	protein-coding	ACSS2|55902_calculated	merged_ACSS2|55902_calculated	ACSS2_ENSG00000131069	ACSS2_ENSG00000131069
ACSS3	79611	ACSS3	ACSS3	ENSG00000111058	24723	12	12q21.31	acyl-CoA synthetase short chain family member 3	protein-coding	ACSS3|79611_calculated	merged_ACSS3|79611_calculated	ACSS3_ENSG00000111058	ACSS3_ENSG00000111058
ACTA1	58	ACTA1	ACTA1	ENSG00000143632	129	1	1q42.13	"actin alpha 1, skeletal muscle"	protein-coding	ACTA1|58_calculated	merged_ACTA1|58_calculated	ACTA1_ENSG00000143632	ACTA1_ENSG00000143632
ACTA2	59	ACTA2	ACTA2	ENSG00000107796	130	10	10q23.31	"actin alpha 2, smooth muscle"	protein-coding	ACTA2|59_calculated	merged_ACTA2|59_calculated	ACTA2_ENSG00000107796	ACTA2_ENSG00000107796
ACTB	60	ACTB	ACTB	ENSG00000075624	132	7	7p22.1	actin beta	protein-coding	ACTB|60_calculated	merged_ACTB|60_calculated	ACTB_ENSG00000075624	ACTB_ENSG00000075624
ACTBL2	345651	ACTBL2	ACTBL2	ENSG00000169067	17780	5	5q11.2	actin beta like 2	protein-coding	ACTBL2|345651_calculated	merged_ACTBL2|345651_calculated	ACTBL2_ENSG00000169067	ACTBL2_ENSG00000169067
ACTC1	70	ACTC1	ACTC1	ENSG00000159251	143	15	15q14	actin alpha cardiac muscle 1	protein-coding	ACTC1|70_calculated	merged_ACTC1|70_calculated	ACTC1_ENSG00000159251	ACTC1_ENSG00000159251
ACTG1	71	ACTG1	ACTG1	ENSG00000184009	144	17	17q25.3	actin gamma 1	protein-coding	ACTG1|71_calculated	merged_ACTG1|71_calculated	ACTG1_ENSG00000184009	ACTG1_ENSG00000184009
ACTG2	72	ACTG2	ACTG2	ENSG00000163017	145	2	2p13.1	"actin gamma 2, smooth muscle"	protein-coding	ACTG2|72_calculated	merged_ACTG2|72_calculated	ACTG2_ENSG00000163017	ACTG2_ENSG00000163017
ACTL6A	86	ACTL6A	ACTL6A	ENSG00000136518	24124	3	3q26.33	actin like 6A	protein-coding	ACTL6A|86_calculated	merged_ACTL6A|86_calculated	ACTL6A_ENSG00000136518	ACTL6A_ENSG00000136518
ACTL6B	51412	ACTL6B	ACTL6B	ENSG00000077080	160	7	7q22.1	actin like 6B	protein-coding	ACTL6B|51412_calculated	merged_ACTL6B|51412_calculated	ACTL6B_ENSG00000077080	ACTL6B_ENSG00000077080
ACTL7A	10881	ACTL7A	ACTL7A	ENSG00000187003	161	9	9q31.3	actin like 7A	protein-coding	ACTL7A|10881_calculated	merged_ACTL7A|10881_calculated	ACTL7A_ENSG00000187003	ACTL7A_ENSG00000187003
ACTL7B	10880	ACTL7B	ACTL7B	ENSG00000148156	162	9	9q31.3	actin like 7B	protein-coding	ACTL7B|10880_calculated	merged_ACTL7B|10880_calculated	ACTL7B_ENSG00000148156	ACTL7B_ENSG00000148156
ACTL8	81569	ACTL8	ACTL8	ENSG00000117148	24018	1	1p36.13	actin like 8	protein-coding	ACTL8|81569_calculated	merged_ACTL8|81569_calculated	ACTL8_ENSG00000117148	ACTL8_ENSG00000117148
ACTL9	284382	ACTL9	ACTL9	ENSG00000181786	28494	19	19p13.2	actin like 9	protein-coding	ACTL9|284382_calculated	merged_ACTL9|284382_calculated	ACTL9_ENSG00000181786	ACTL9_ENSG00000181786
ACTN1	87	ACTN1	ACTN1	ENSG00000072110	163	14	14q24.1|14q22-q24	actinin alpha 1	protein-coding	ACTN1|87_calculated	merged_ACTN1|87_calculated	ACTN1_ENSG00000072110	ACTN1_ENSG00000072110
ACTN2	88	ACTN2	ACTN2	ENSG00000077522	164	1	1q43	actinin alpha 2	protein-coding	ACTN2|88_calculated	merged_ACTN2|88_calculated	ACTN2_ENSG00000077522	ACTN2_ENSG00000077522
ACTN3	89	ACTN3	ACTN3	ENSG00000248746	165	11	11q13.2	actinin alpha 3 (gene/pseudogene)	protein-coding	ACTN3|89_calculated	merged_ACTN3|89_calculated	ACTN3_ENSG00000248746	ACTN3_ENSG00000248746
ACTN4	81	ACTN4	ACTN4	ENSG00000130402	166	19	19q13.2	actinin alpha 4	protein-coding	ACTN4|81_calculated	merged_ACTN4|81_calculated	ACTN4_ENSG00000130402	ACTN4_ENSG00000130402
ACTR10	55860	ACTR10	ACTR10	ENSG00000131966	17372	14	14q23.1	actin related protein 10	protein-coding	ACTR10|55860_calculated	merged_ACTR10|55860_calculated	ACTR10_ENSG00000131966	ACTR10_ENSG00000131966
ACTR1A	10121	ACTR1A	ACTR1A	ENSG00000138107	167	10	10q24.32	actin related protein 1A	protein-coding	ACTR1A|10121_calculated	merged_ACTR1A|10121_calculated	ACTR1A_ENSG00000138107	ACTR1A_ENSG00000138107
ACTR1B	10120	ACTR1B	ACTR1B	ENSG00000115073	168	2	2q11.2	actin related protein 1B	protein-coding	ACTR1B|10120_calculated	merged_ACTR1B|10120_calculated	ACTR1B_ENSG00000115073	ACTR1B_ENSG00000115073
ACTR2	10097	ACTR2	ACTR2	ENSG00000138071	169	2	2p14	actin related protein 2	protein-coding	ACTR2|10097_calculated	merged_ACTR2|10097_calculated	ACTR2_ENSG00000138071	ACTR2_ENSG00000138071
ACTR3	10096	ACTR3	ACTR3	ENSG00000115091	170	2	2q14.1	actin related protein 3	protein-coding	ACTR3|10096_calculated	merged_ACTR3|10096_calculated	ACTR3_ENSG00000115091	ACTR3_ENSG00000115091
ACTR3B	57180	ACTR3B	ACTR3B	ENSG00000133627	17256	7	7q36.1-q36.2	actin related protein 3B	protein-coding	ACTR3B|57180_calculated	merged_ACTR3B|57180_calculated	ACTR3B_ENSG00000133627	ACTR3B_ENSG00000133627
ACTR3C	653857	ACTR3C	ACTR3C	ENSG00000106526	37282	7	7q36.1	actin related protein 3C	protein-coding	ACTR3C|653857_calculated	merged_ACTR3C|653857_calculated	ACTR3C_ENSG00000106526	ACTR3C_ENSG00000106526
ACTR5	79913	ACTR5	ACTR5	ENSG00000101442	14671	20	20q11.23	actin related protein 5	protein-coding	ACTR5|79913_calculated	merged_ACTR5|79913_calculated	ACTR5_ENSG00000101442	ACTR5_ENSG00000101442
ACTR6	64431	ACTR6	ACTR6	ENSG00000075089	24025	12	12q23.1	actin related protein 6	protein-coding	ACTR6|64431_calculated	merged_ACTR6|64431_calculated	ACTR6_ENSG00000075089	ACTR6_ENSG00000075089
ACTR8	93973	ACTR8	ACTR8	ENSG00000113812	14672	3	3p21.1	actin related protein 8	protein-coding	ACTR8|93973_calculated	merged_ACTR8|93973_calculated	ACTR8_ENSG00000113812	ACTR8_ENSG00000113812
ACTRT1	139741	ACTRT1	ACTRT1	ENSG00000123165	24027	X	Xq25	actin related protein T1	protein-coding	ACTRT1|139741_calculated	merged_ACTRT1|139741_calculated	ACTRT1_ENSG00000123165	ACTRT1_ENSG00000123165
ACTRT2	140625	ACTRT2	ACTRT2	ENSG00000169717	24026	1	1p36.32	actin related protein T2	protein-coding	ACTRT2|140625_calculated	merged_ACTRT2|140625_calculated	ACTRT2_ENSG00000169717	ACTRT2_ENSG00000169717
ACVR1	90	ACVR1	ACVR1	ENSG00000115170	171	2	2q24.1	activin A receptor type 1	protein-coding	ACVR1|90_calculated	merged_ACVR1|90_calculated	ACVR1_ENSG00000115170	ACVR1_ENSG00000115170
ACVR1B	91	ACVR1B	ACVR1B	ENSG00000135503	172	12	12q13.13	activin A receptor type 1B	protein-coding	ACVR1B|91_calculated	merged_ACVR1B|91_calculated	ACVR1B_ENSG00000135503	ACVR1B_ENSG00000135503
ACVR1C	130399	ACVR1C	ACVR1C	ENSG00000123612	18123	2	2q24.1	activin A receptor type 1C	protein-coding	ACVR1C|130399_calculated	merged_ACVR1C|130399_calculated	ACVR1C_ENSG00000123612	ACVR1C_ENSG00000123612
ACVR2A	92	ACVR2A	ACVR2A	ENSG00000121989	173	2	2q22.3-q23.1	activin A receptor type 2A	protein-coding	ACVR2A|92_calculated	merged_ACVR2A|92_calculated	ACVR2A_ENSG00000121989	ACVR2A_ENSG00000121989
ACVR2B	93	ACVR2B	ACVR2B	ENSG00000114739	174	3	3p22.2	activin A receptor type 2B	protein-coding	ACVR2B|93_calculated	merged_ACVR2B|93_calculated	ACVR2B_ENSG00000114739	ACVR2B_ENSG00000114739
ACVRL1	94	ACVRL1	ACVRL1	ENSG00000139567	175	12	12q13.13	activin A receptor like type 1	protein-coding	ACVRL1|94_calculated	merged_ACVRL1|94_calculated	ACVRL1_ENSG00000139567	ACVRL1_ENSG00000139567
ACY1	95	ACY1	ACY1	ENSG00000243989	177	3	3p21.2	aminoacylase 1	protein-coding	ACY1|95_calculated	merged_ACY1|95_calculated	ACY1_ENSG00000243989	ACY1_ENSG00000243989
ACY3	91703	ACY3	ACY3	ENSG00000132744	24104	11	11q13.2	aminoacylase 3	protein-coding	ACY3|91703_calculated	merged_ACY3|91703_calculated	ACY3_ENSG00000132744	ACY3_ENSG00000132744
ACYP1	97	ACYP1	ACYP1	ENSG00000119640	179	14	14q24.3	acylphosphatase 1	protein-coding	ACYP1|97_calculated	merged_ACYP1|97_calculated	ACYP1_ENSG00000119640	ACYP1_ENSG00000119640
ACYP2	98	ACYP2	ACYP2	ENSG00000170634	180	2	2p16.2	acylphosphatase 2	protein-coding	ACYP2|98_calculated	merged_ACYP2|98_calculated	ACYP2_ENSG00000170634	ACYP2_ENSG00000170634
ADA	100	ADA	ADA	ENSG00000196839	186	20	20q13.12	adenosine deaminase	protein-coding	ADA|100_calculated	merged_ADA|100_calculated	ADA_ENSG00000196839	ADA_ENSG00000196839
ADAD1	132612	ADAD1	ADAD1	ENSG00000164113	30713	4	4q27	adenosine deaminase domain containing 1	protein-coding	ADAD1|132612_calculated	merged_ADAD1|132612_calculated	ADAD1_ENSG00000164113	ADAD1_ENSG00000164113
ADAD2	161931	ADAD2	ADAD2	ENSG00000140955	30714	16	16q24.1	adenosine deaminase domain containing 2	protein-coding	ADAD2|161931_calculated	merged_ADAD2|161931_calculated	ADAD2_ENSG00000140955	ADAD2_ENSG00000140955
ADAL	161823	ADAL	ADAL	ENSG00000168803	31853	15	15q15.3	adenosine deaminase like	protein-coding	ADAL|161823_calculated	merged_ADAL|161823_calculated	ADAL_ENSG00000168803	ADAL_ENSG00000168803
